Author,Mapped Genres
oscar wilde,"classics, fiction, horror, gothic, fantasy, , "
ken follett,"historical, fiction, historical, fantasy, classics, audiobook, medieval"
krentz jayne ann,"romance, contemporary, contemporary, fiction, audiobook, suspense, historical"
kim on-su,"fiction, thriller, mystery, crime, mystery, asia, audiobook"
acevedo elizabeth,"poetry, young adult, contemporary, fiction, audiobook, realistic fiction, romance"
t. sutherland tui,"fantasy, middle grade, dragons, young adult, adventure, fiction, childrens"
bill konigsberg,"young adult, lgbt, realistic fiction, fiction, contemporary, queer, teen"
trudy ludwig,"picture books, childrens, storytime, inspirational, fiction, elementary, nature"
lore pittacus,"young adult, fantasy, science fiction, fiction, aliens, adventure, paranormal"
l. harrison,"young adult, contemporary, middle grade, fiction, chick lit, realistic fiction, childrens"
jo langford,"non-fiction, lgbt, queer, parenting, sexuality, health, gender and sexuality"
jen wang,"graphic novel, young adult, lgbt, comic book, romance, queer, historical"
meg cabot,"young adult, romance, fiction, chick lit, contemporary, teen, humor"
duncan tonatiuh,"picture books, childrens, folklore, cultural, mythology, fiction, fantasy"
young suzanne,"young adult, dystopia, romance, science fiction, fiction, mental health, fantasy"
summers courtney,"young adult, thriller, mystery, contemporary, mystery, fiction, audiobook"
kaiu shirai,"manga, horror, fantasy, graphic novel, mystery, young adult, fiction"
ibtihaj muhammad,"picture books, childrens, realistic fiction, family, fiction, muslims, religion"
emma donoghue,"historical, fiction, historical, audiobook, ireland, lgbt, adult"
holly black,"fantasy, young adult, romance, enemies to lovers, fae, young adult, fiction"
teresa schaeffer,fiction
robert cormier,"young adult, mystery, fiction, thriller, suspense, realistic fiction, crime"
marcus pfister,"picture books, childrens, fiction, animals, classics, fantasy, kids"
iris chang,"historical, non-fiction, china, war, japan, world war ii, historical"
rachel elliott,"graphic novel, middle grade, lgbt, comic book, queer, realistic fiction, fiction"
kelley armstrong,"young adult, fantasy, paranormal, urban, romance, supernatural, magic"
clare cassandra,"fantasy, young adult, lgbt, romance, urban, paranormal, fiction"
clare cassandra,"fantasy, young adult, lgbt, romance, urban, paranormal, fiction"
william faulkner,"fiction, classics, , historical, american, humor, "
sparks nicholas,"romance, fiction, chick lit, contemporary, adult, adult, contemporary"
ness patrick,"young adult, fantasy, contemporary, fiction, lgbt, audiobook, paranormal"
adams douglas,"science fiction, fiction, humor, fantasy, comedy, classics, audiobook"
brandy colbert,"young adult, contemporary, romance, realistic fiction, fiction, lgbt, audiobook"
lore pittacus,"young adult, fantasy, science fiction, fiction, aliens, adventure, paranormal"
cormac mccarthy,"fiction, science fiction, dystopia, post apocalyptic, horror, , "
t.c. boyle,"fiction, historical, humor, historical, , , health"
amy ignatow,"middle grade, graphic novel, childrens, humor, realistic fiction, fiction, lgbt"
wertherim l. jon,"sports, realistic fiction, mathematics, middle grade, fiction, humor, childrens"
rafe martin,"picture books, childrens, fairy tales, native american, fantasy, fiction, folklore"
louise erdrich,"fiction, historical, mystery, native american, literary fiction, coming of age, indigenous"
john brindley,"science fiction, dystopia, young adult, adventure, fiction"
ian caldwell,"fiction, mystery, thriller, historical, mystery, suspense, books about books"
m. o'brien caragh,"young adult, science fiction, dystopia, fiction, fantasy, audiobook, romance"
nancy holder,"horror, young adult, thriller, mystery, contemporary, fiction, mystery"
clayton dhonielle,"young adult, contemporary, mystery, thriller, mental health, mystery, realistic fiction"
king stephen,"horror, fiction, science fiction, thriller, dystopia, audiobook, fantasy"
gay roxane,"graphic novel, science fiction, comic book, fiction, fantasy, young adult, romance"
hannah abigail clarke,"fantasy, lgbt, young adult, lesbian, queer, witches, fiction"
andrs miedoso,"fantasy, mystery, humor, childrens, paranormal, fiction, chapter books"
james dashner,"young adult, dystopia, science fiction, fiction, fantasy, adventure, post apocalyptic"
bow erin,"young adult, dystopia, science fiction, fantasy, lgbt, fiction, romance"
katja millay,"romance, young adult, contemporary, new adult, fiction, contemporary, abuse"
bernstein sara tuvel,"holocaust, non-fiction, historical, memoir, biography, world war ii, audiobook"
ann brashares,"young adult, fiction, chick lit, contemporary, romance, teen, realistic fiction"
robin maxwell,"historical, historical, fiction, tudor period, british literature, romance, 16th century"
jules jacqueline,"spain, chapter books, childrens"
sitomer alan lawrence,"young adult, fiction, realistic fiction, family, cultural, teen, high school"
rick riordan,"fantasy, mythology, young adult, middle grade, fiction, adventure, magic"
p. young william,"fiction, christianity, christianity, spirituality, faith, religion, inspirational"
warga jasmine,"middle grade, realistic fiction, contemporary, fiction, young adult, audiobook, family"
johnson r. kikuo,"graphic novel, comic book, childrens, picture books, mythology, fiction, folklore"
bean lexie,"middle grade, lgbt, queer, transgender, fiction, young adult, contemporary"
harrison a. s. a.,"fiction, thriller, mystery, mystery, audiobook, suspense, psychology"
roshani chokshi,"fantasy, young adult, historical, historical, young adult, romance, fiction"
ilsa j. bick,"young adult, mystery, lgbt, realistic fiction, fiction, contemporary, teen"
harvey fierstein,"picture books, lgbt, childrens, animals, fiction, , queer"
deb caletti,"young adult, romance, contemporary, fiction, realistic fiction, teen, chick lit"
tyler michael,"picture books, childrens, cultural, race, poetry, storytime, non-fiction"
couch robbie,"lgbt, young adult, contemporary, romance, queer, fiction, audiobook"
amy beashel,"young adult, contemporary, fiction, young adult, mental health, abuse, realistic fiction"
fox paula,"historical, young adult, fiction, childrens, historical, middle grade, classics"
andrs miedoso,"chapter books, childrens, humor, middle grade"
rick riordan,"fantasy, mythology, young adult, fiction, middle grade, adventure, greek mythology"
kehoe stasia ward,"young adult, contemporary, romance, realistic fiction, poetry, music, fiction"
katrina goldsaito,"picture books, childrens, japan, music, fiction, cultural, asia"
tim tharp,"young adult, contemporary, romance, fiction, realistic fiction, coming of age, young adult"
king stephen,"horror, fiction, fantasy, science fiction, post apocalyptic, thriller, dystopia"
petrus junauda,"young adult, lgbt, romance, contemporary, queer, fiction, lesbian"
holly black,"young adult, romance, fae, fantasy, young adult, fiction, audiobook"
e. pitman gayle,"non-fiction, lgbt, historical, middle grade, queer, social, historical"
matt phelan,"graphic novel, historical, fantasy, middle grade, fiction, childrens, historical"
sagar lindsey,"picture books, childrens, music, historical, non-fiction, , education"
coles robert,"picture books, biography, historical, non-fiction, childrens, cultural, african american"
han jenny,"romance, young adult, contemporary, fiction, audiobook, chick lit, young adult"
johnson alaya dawn,"young adult, science fiction, fantasy, dystopia, romance, fiction, lgbt"
amy spalding,"young adult, lgbt, romance, contemporary, queer, fiction, audiobook"
amy spalding,"young adult, lgbt, romance, contemporary, queer, fiction, audiobook"
pinkney gloria jean,"historical, picture books, childrens, cultural, family, african american"
bray libba,"fantasy, young adult, historical, historical, fiction, romance, paranormal"
karen finneyfrock,"young adult, fiction, realistic fiction, contemporary, lgbt, teen, poetry"
combs teshelle,"science fiction, paranormal"
mary azarian,picture books
anne rice,"horror, fantasy, vampires, fiction, paranormal, supernatural, urban"
lynn picknett,"non-fiction, historical, religion, conspiracy theories, christianity, historical, philosophy"
alice walker,"fiction, african american, classics, feminism, magic, historical, "
sarah mlynowski,"young adult, romance, contemporary, chick lit, realistic fiction, fiction, teen"
jodi picoult,"fiction, contemporary, chick lit, adult, adult, drama, mystery"
kern peggy,"young adult, realistic fiction, fiction, contemporary, love, african american, childrens"
atwood margaret,"fiction, dystopia, science fiction, feminism, audiobook, classics, literary fiction"
l. ury william,"non-fiction, psychology, philosophy, management, business, social"
king stephen,"horror, fiction, science fiction, thriller, fantasy, aliens, audiobook"
rick riordan,"fantasy, mythology, young adult, middle grade, fiction, greek mythology, adventure"
stephen metcalfe,"young adult, coming of age, fiction, realistic fiction, contemporary, audiobook, "
b. r. collins,"fantasy, young adult, lgbt, contemporary, fiction, gay, mystery"
a. nielsen jennifer,"fantasy, young adult, romance, audiobook, young adult, fiction, adventure"
mette newth,"historical, young adult, childrens, historical"
young suzanne,"dystopia, young adult, romance, science fiction, fiction, mental health, audiobook"
louise murphy,"historical, fiction, holocaust, world war ii, war, historical, fairy tales"
robinson elisabeth,"fiction, chick lit, contemporary, , humor, adult, family"
leslie connor,"middle grade, realistic fiction, mystery, fiction, young adult, audiobook, family"
ramos nonieqa,"young adult, lgbt, contemporary, romance, queer, realistic fiction, fiction"
sarah dessen,"young adult, romance, contemporary, fiction, chick lit, realistic fiction, teen"
brown savannah,"mystery, young adult, lgbt, contemporary, thriller, fiction, lesbian"
corthron kara lee,"young adult, contemporary, romance, coming of age, realistic fiction, mental health, family"
nye naomi shihab,"middle grade, fiction, realistic fiction, childrens, family, cultural, young adult"
rick riordan,"fantasy, mythology, young adult, middle grade, fiction, greek mythology, adventure"
walter larimore,"science, parenting, childrens, health, family, non-fiction"
milan kundera,"fiction, philosophy, , , romance, czech literature, classics"
kwame alexander,"picture books, poetry, historical, non-fiction, childrens, african american, biography"
jenny nordberg,"non-fiction, historical, feminism, politics, womens, audiobook, asia"
colson whitehead,"historical, fiction, historical, audiobook, literary fiction, race, african american"
morgan matson,"contemporary, young adult, romance, young adult, fiction, realistic fiction, young adult"
toten teresa,"young adult, mental health, contemporary, romance, realistic fiction, mental health, fiction"
becky albertalli,"young adult, contemporary, romance, lgbt, fiction, queer, audiobook"
becky albertalli,"young adult, contemporary, romance, lgbt, fiction, queer, audiobook"
rosie dickins,"art, non-fiction, historical, childrens"
andrs miedoso,"chapter books, childrens"
anderson jodi lynn,"young adult, mystery, paranormal, contemporary, romance, fantasy, ghosts"
kalynn bayron,"middle grade, fantasy, vampires, horror, paranormal, mystery, childrens"
nick burd,"young adult, lgbt, romance, fiction, contemporary, realistic fiction, gay"
r. koontz dean,"horror, fiction, thriller, suspense, mystery, mystery, coming of age"
chelo manchego,"picture books, childrens, fiction"
hesse monica,"historical, young adult, historical, world war ii, fiction, war, audiobook"
bradley kimberly brubaker,"historical, middle grade, fiction, young adult, historical, world war ii, childrens"
king stephen,"fantasy, fiction, horror, science fiction, audiobook, adventure, westerns"
steele hamish,"graphic novel, fantasy, lgbt, comic book, young adult, queer, horror"
curtis christopher paul,"historical, young adult, middle grade, fiction, childrens, school, historical"
mac carrie,"young adult, fiction, teen, realistic fiction"
coontz stephanie,"historical, non-fiction, social, feminism, politics, american, historical"
david macaulay,"science, non-fiction, reference, childrens, biology, health, bodies"
sparks nicholas,"romance, fiction, chick lit, contemporary, adult, contemporary, adult"
d. jackson tiffany,"horror, young adult, thriller, audiobook, fiction, mystery, retellings"
k. ancrum,"young adult, science fiction, lgbt, contemporary, romance, lesbian, queer"
greg howard,"middle grade, lgbt, fantasy, fiction, young adult, queer, mystery"
anne mccaffrey,"fantasy, science fiction, dragons, fiction, science fiction, young adult, high fantasy"
david baldacci,"fiction, thriller, mystery, suspense, crime, audiobook, mystery"
holly black,"fantasy, young adult, romance, enemies to lovers, young adult, fiction, audiobook"
pierce tamora,"fantasy, young adult, fiction, magic, young adult, high fantasy, teen"
paolo bacigalupi,"science fiction, fiction, dystopia, steampunk, fantasy, cyberpunk, post apocalyptic"
ostertag molly knox,"graphic novel, fantasy, middle grade, comic book, lgbt, queer, young adult"
molly knox ostertag,"graphic novel, fantasy, middle grade, comic book, lgbt, queer, young adult"
david bowles,"fantasy, graphic novel, young adult, comic book, steampunk, fiction, science fiction"
page nathan,"graphic novel, young adult, mystery, fantasy, comic book, lgbt, historical"
roal dahl,"graphic novel, fantasy, comic book, middle grade, comic book, childrens, fiction"
anne rice,"horror, fantasy, fiction, paranormal, witches, supernatural, gothic"
gloria naylor,"fiction, short stories, classics, historical, african american, literary fiction, contemporary"
claire needell,"young adult, contemporary, realistic fiction, fiction, young adult, social, high school"
john irving,"fiction, classics, , contemporary, , literary fiction, humor"
joshua hanagarne,"non-fiction, memoir, biography, books about books, biography, audiobook, humor"
rene ahdieh,"fantasy, young adult, romance, retellings, fiction, enemies to lovers, young adult"
katie heaney,"young adult, lgbt, contemporary, fiction, mental health, queer, coming of age"
dani jansen,"young adult, contemporary, lgbt, romance, fiction, audiobook, queer"
nancy garden,"young adult, lgbt, fiction, queer, realistic fiction, contemporary, "
atwood margaret,"fiction, science fiction, dystopia, post apocalyptic, fantasy, canada, fiction"
ellen hopkins,"young adult, poetry, lgbt, contemporary, realistic fiction, fiction, audiobook"
ellen hopkins,"young adult, poetry, lgbt, contemporary, realistic fiction, fiction, audiobook"
chris weitz,"young adult, dystopia, science fiction, post apocalyptic, audiobook, fiction, adventure"
mariah fredericks,"young adult, romance, teen, realistic fiction, contemporary, chick lit, high school"
meg rosoff,"young adult, fantasy, fiction, humor, religion, teen, romance"
gary larson,"humor, fiction, picture books, comic book, childrens, graphic novel, comedy"
jerry spinelli,"fiction, young adult, realistic fiction, sports, middle grade, childrens, juvenile"
overy alexandra,"fantasy, young adult, lgbt, lesbian, retellings, queer, young adult"
isabel sterling,"fantasy, lgbt, young adult, romance, lesbian, queer, witches"
takei george,"graphic novel, non-fiction, memoir, historical, comic book, biography, historical"
jessica goodman,"mystery, young adult, thriller, mystery, contemporary, fiction, audiobook"
michael bennett,"non-fiction, social, sports, memoir, race, teen"
jay coles,"young adult, lgbt, contemporary, romance, queer, fiction, sports"
lucy score,"romance, contemporary, contemporary, small town romance, fiction, audiobook, adult"
peter ackerman,"plays, audiobook, theatre, drama, humor"
jess kidd,"historical, fantasy, mystery, fiction, magic, historical, gothic"
king stephen,"horror, fiction, thriller, fantasy, supernatural, paranormal, audiobook"
juno dawson,"non-fiction, lgbt, , queer, gay, self help, humor"
juno dawson,"non-fiction, lgbt, , queer, gay, self help, humor"
lauren myracle,"young adult, realistic fiction, coming of age, fiction, contemporary, romance, teen"
illus. by kristyna litten gayle e. pitman,"picture books, lgbt, childrens, , non-fiction, queer, historical"
e. pitman gayle,"picture books, lgbt, childrens, , non-fiction, queer, historical"
hoover colleen,"romance, new adult, contemporary, young adult, contemporary, fiction, chick lit"
emily victoria,"fantasy, young adult, lgbt, queer, science fiction, fiction, young adult"
kim johnson,"young adult, contemporary, fiction, mystery, realistic fiction, audiobook, social"
ashley elston,"mystery, young adult, thriller, contemporary, mystery, fiction, romance"
ruby bridges,"non-fiction, historical, memoir, biography, childrens, social, picture books"
sarah dessen,"young adult, romance, contemporary, fiction, chick lit, realistic fiction, teen"
illus. by jillian tamaki mariko tamaki,"graphic novel, young adult, comic book, fiction, contemporary, realistic fiction, coming of age"
pfeffer susan beth,"young adult, dystopia, science fiction, post apocalyptic, fiction, survival, apocalyptic"
rees celia,"young adult, contemporary, romance, mystery, realistic fiction, drama, fiction"
albert marrin,"biography, historical, non-fiction, american, politics, middle grade, historical"
boelts maribeth,"picture books, childrens, realistic fiction, poverty, fiction, school, cultural"
blum jenna,"historical, fiction, world war ii, holocaust, historical, war, germany"
yang kelly,"middle grade, realistic fiction, historical, fiction, audiobook, childrens, young adult"
ashley rhodes-courter,"memoir, non-fiction, fostering, biography, adoption, audiobook, social"
j. maas sarah,"young adult, romance, fiction, magic, fantasy, young adult, high fantasy"
ruby bridges,"biography, non-fiction, historical, picture books, memoir, childrens, autobiography"
rossi veronica,"young adult, dystopia, fantasy, romance, science fiction, post apocalyptic, fiction"
alexie sherman,"picture books, childrens, family, realistic fiction, native american, indigenous, cultural"
nolen jerdine,"picture books, childrens, african american, fiction, cultural, westerns, fantasy"
juan williams,"biography, historical, non-fiction, law, politics, american, race"
james patterson,"mystery, fiction, thriller, crime, suspense, mystery, audiobook"
judy blume,"young adult, fiction, realistic fiction, childrens, contemporary, coming of age, teen"
ellen hopkins,"young adult, poetry, fiction, contemporary, realistic fiction, romance, "
maha addasi,"picture books, islam, cultural, religion, childrens, realistic fiction, family"
vonnegut jr. kurt,"fiction, science fiction, classics, humor, time travel, , "
cecil castellucci,"science fiction, young adult, aliens, space, romance, fiction, dystopia"
elena poniatowska,"fiction, historical, spain, latin american, contemporary, 20th century, womens"
sona charaipotra,"young adult, contemporary, mystery, fiction, romance, thriller, audiobook"
jones carrie,"young adult, romance, teen, lgbt, realistic fiction, contemporary, fiction"
tony allan,"mythology, historical, reference, greek mythology, folklore, non-fiction"
han jenny,"romance, contemporary, young adult, fiction, audiobook, chick lit, realistic fiction"
erick fromm,"philosophy, psychology, non-fiction, social, self help, politics, psychoanalysis"
lee harper,"fiction, historical, school, , young adult, historical, school"
sloan holly goldberg,"middle grade, lgbt, fiction, realistic fiction, contemporary, young adult, family"
holly goldberg sloan,"middle grade, lgbt, fiction, realistic fiction, contemporary, young adult, family"
renn diana,"mystery, young adult, contemporary, fiction, japan, art, teen"
liz prince,"graphic novel, memoir, non-fiction, comic book, biography, feminism, gender"
gary soto,"picture books, christmas, cultural, childrens, family, realistic fiction, fiction"
marilyn reynolds,"fiction, young adult, teen"
kate lauren,"young adult, fantasy, romance, angels, paranormal, paranormal, supernatural"
j. maas sarah,"young adult, romance, fantasy, romance, fiction, new adult, fae"
howe james,"young adult, lgbt, fiction, realistic fiction, queer, middle grade, teen"
deb vanasse,"picture books, native american, childrens"
james patterson,"fiction, thriller, mystery, science fiction, suspense, audiobook, mystery"
ellen hopkins,"young adult, poetry, fiction, contemporary, realistic fiction, lgbt, audiobook"
lisa j. lawrence,"young adult, contemporary, realistic fiction, canada, retellings, fiction, teen"
alex bertie,"non-fiction, lgbt, memoir, queer, transgender, biography, gender"
rebecca t. klein,young adult
carman patrick,"dystopia, young adult, science fiction, fantasy, romance, paranormal, adventure"
ellen hopkins,"poetry, fiction, romance, contemporary, adult, young adult, adult"
tony allan,"mythology, historical, non-fiction, reference, folklore, religion"
troy andrews,"picture books, biography, music, non-fiction, childrens, african american, memoir"
barter catherine,"young adult, contemporary, lgbt, fiction, politics, family, realistic fiction"
fukui isdamu,"science fiction, dystopia, young adult, fiction"
susan dennard,"fantasy, young adult, magic, young adult, witches, romance, high fantasy"
jan wolkers,"fiction, dutch literature, classics, , school, roman, "
john green,"young adult, fiction, contemporary, mental health, romance, audiobook, realistic fiction"
janet evanovich,"mystery, fiction, humor, chick lit, romance, crime, audiobook"
anderson laurie halse,"young adult, fiction, realistic fiction, contemporary, teen, coming of age, high school"
m. mcmanus karen,"mystery, young adult, thriller, mystery, contemporary, fiction, audiobook"
joseph bruchac,"historical, middle grade, historical, native american, fiction, indigenous, young adult"
joseph bruchac,"historical, middle grade, historical, native american, fiction, indigenous, young adult"
janet evanovich,"mystery, fiction, humor, chick lit, romance, crime, audiobook"
lauren barnholdt,"young adult, romance, contemporary, road trip, chick lit, realistic fiction, fiction"
macias maryann jacob,"picture books, lgbt, childrens, queer, gender, realistic fiction, fiction"
scott westerfeld,"young adult, dystopia, science fiction, fiction, fantasy, romance, teen"
hoover colleen,"contemporary, new adult, fiction, contemporary, audiobook, adult, chick lit"
r. j. anderson,"young adult, science fiction, paranormal, fantasy, mystery, aliens, romance"
sara shepard,"young adult, mystery, fiction, contemporary, romance, chick lit, thriller"
margaree king mitchell,"picture books, historical, cultural, family, childrens, african american, realistic fiction"
acho emmanuel,"non-fiction, middle grade, audiobook, historical, social, race, childrens"
hena khan,"picture books, realistic fiction, childrens, cultural, muslims, family, religion"
louise gornall,"contemporary, young adult, mental health, romance, mental health, fiction, young adult"
robin stevenson,"lgbt, young adult, contemporary, realistic fiction, fiction, lesbian, social"
king stephen,"horror, fiction, science fiction, thriller, fantasy, mystery, audiobook"
fitzgerald laura marx,"mystery, middle grade, art, fiction, young adult, childrens, realistic fiction"
l. a. meyer,"historical, young adult, adventure, pirates, historical, fiction, audiobook"
abbi glines,"romance, young adult, contemporary, sports, sports, high school, new adult"
lauren myracle,"graphic novel, comic book, young adult, comic book, superheroes, fiction, graphic novel"
j. keyser amber,"non-fiction, historical, fashion, teen, feminism"
juno dawson,young adult
don nardo,non-fiction
michael buckley,"young adult, fantasy, science fiction, romance, dystopia, paranormal, fiction"
alex willan,"picture books, fantasy, unicorns, childrens, humor, storytime, fiction"
mafi tahereh,"fantasy, dystopia, young adult, romance, fiction, novella, science fiction"
amanda lovelace,"poetry, non-fiction, lgbt, feminism, adult, mental health, audiobook"
jenni hendriks,"young adult, contemporary, fiction, feminism, realistic fiction, audiobook, young adult"
mafi tahereh,"fantasy, dystopia, young adult, romance, science fiction, fiction, enemies to lovers"
mafi tahereh,"fantasy, dystopia, young adult, romance, science fiction, fiction, enemies to lovers"
albin gennifer,"dystopia, young adult, fantasy, science fiction, romance, fiction, audiobook"
art coulson,"biography, sports, picture books, non-fiction, historical, native american, childrens"
a. g. howard,"fantasy, young adult, retellings, romance, magic, fairy tales, audiobook"
p. c. cast,"young adult, vampires, fantasy, paranormal, romance, fiction, supernatural"
p. c. cast,"young adult, vampires, fantasy, paranormal, romance, fiction, supernatural"
abbi glines,"romance, young adult, contemporary, sports, sports, new adult, high school"
renee collins,"young adult, romance, time travel, fantasy, mystery, historical, science fiction"
abbi glines,"romance, new adult, contemporary, contemporary, young adult, audiobook, high school"
bella stumbo,"true crime, non-fiction, crime, biography, historical, mystery, marriage"
jones kelly,"middle grade, fantasy, humor, animals, childrens, fiction, magic"
neal shusterman,"young adult, dystopia, science fiction, fiction, fantasy, horror, thriller"
nelson demille,"fiction, thriller, mystery, mystery, suspense, historical, military"
haddix margaret peterson,"historical, young adult, historical, fiction, school, middle grade, young adult"
alan moore,"graphic novel, comic book, fiction, dystopia, science fiction, graphic novel, classics"
holly black,"fantasy, young adult, urban, fae, romance, fae, fiction"
grey melissa,"historical, young adult, lesbian, lgbt, historical, fantasy, queer"
mead richelle,"fantasy, young adult, vampires, paranormal, romance, urban, fiction"
mead richelle,"graphic novel, vampires, young adult, fantasy, paranormal, romance, comic book"
jodi picoult,"fiction, contemporary, chick lit, mystery, drama, adult, adult"
dr. seuss,"picture books, childrens, fiction, poetry, classics, humor, kids"
hoover colleen,"thriller, romance, mystery, fiction, mystery, suspense, contemporary"
dugan jennifer,"romance, contemporary, young adult, lgbt, mental health, queer, fiction"
sara shepard,"young adult, mystery, fiction, contemporary, thriller, romance, mystery"
kat cho,"fantasy, young adult, romance, mythology, young adult, urban, paranormal"
lauren myracle,"graphic novel, romance, young adult, comic book, comic book, superheroes, graphic novel"
meg cabot,"young adult, romance, historical, historical, historical, chick lit, fiction"
anders charlie jane,"science fiction, young adult, lgbt, fiction, fantasy, queer, space"
tom robbins,"fiction, humor, magic, , , fantasy, contemporary"
stok barbara,"graphic novel, art, comic book, non-fiction, biography, graphic novel, historical"
james patterson,"mystery, fiction, thriller, crime, suspense, mystery, detective"
elizabeth fitzgerald howard,"picture books, historical, african american, childrens, elementary, cultural, historical"
kaito blue flag,"manga, lgbt, romance, young adult, contemporary, comic book, queer"
kaito blue flag,"manga, lgbt, romance, young adult, contemporary, comic book, queer"
blue flag kaito,"manga, lgbt, romance, contemporary, comic book, young adult, queer"
blue flag kaito,"manga, lgbt, romance, contemporary, young adult, comic book, queer"
kaito blue flag,"manga, lgbt, romance, comic book, young adult, contemporary, queer"
kaito blue flag,"manga, lgbt, romance, young adult, comic book, contemporary, queer"
betsy schow,"fantasy, young adult, retellings, fairy tales, magic, romance, fairy tales"
aveyard victoria,"fantasy, young adult, dystopia, romance, fiction, young adult, audiobook"
jamila rowser,"graphic novel, comic book, fiction, contemporary, lgbt, queer, adult"
renee watson,"young adult, contemporary, feminism, fiction, realistic fiction, poetry, social"
james patterson,"young adult, science fiction, fantasy, fiction, aliens, adventure, action"
alan moore,"graphic novel, fiction, science fiction, fantasy, graphic novel, classics, comic book"
levin jenifer,"fiction, lgbt, queer"
sara gruen,"fiction, historical, romance, historical, adult, adult, contemporary"
stan smith,art
rowell rainbow,"fantasy, young adult, lgbt, romance, queer, fiction, audiobook"
rowell rainbow,"fantasy, young adult, lgbt, romance, queer, fiction, audiobook"
crdova zoraida,"fantasy, young adult, witches, magic, paranormal, fiction, urban"
tommy wallach,"young adult, contemporary, fiction, science fiction, romance, dystopia, realistic fiction"
fowler karen joy,"fiction, contemporary, literary fiction, audiobook, animals, book club, adult"
traci sorell,"picture books, indigenous, non-fiction, childrens, native american, family, cultural"
dunbar helene,"lgbt, young adult, historical, queer, contemporary, romance, historical"
m. johnson george,"non-fiction, memoir, lgbt, audiobook, queer, contemporary, biography"
chee traci,"historical, young adult, historical, fiction, audiobook, contemporary, world war ii"
nina lacour,"young adult, lgbt, contemporary, fiction, queer, lesbian, mental health"
hutchinson shaun david,"young adult, lgbt, contemporary, science fiction, fiction, queer, romance"
shaun david hutchinson,"young adult, lgbt, contemporary, science fiction, fiction, queer, romance"
etler cyndy drew,"memoir, non-fiction, mental health, biography"
solomon rachel lynn,"romance, young adult, contemporary, audiobook, mental health, contemporary, fiction"
maggie thrash,"mystery, young adult, mystery, thriller, fiction, contemporary, high school"
shane w. evans,"picture books, historical, childrens, african american, social, cultural, historical"
martin wilson,"young adult, lgbt, contemporary, fiction, mystery, realistic fiction, queer"
mejia tehlor kay,"fantasy, young adult, lgbt, lesbian, queer, fiction, romance"
mejia tehlor kay,"fantasy, young adult, lgbt, lesbian, queer, fiction, romance"
amy spalding,"young adult, contemporary, lgbt, fiction, romance, lesbian, audiobook"
lisa fiedler,"historical, young adult, contemporary, fiction, historical, realistic fiction, romance"
bettina l. love,"education, non-fiction, teaching, social, race, anti racist, school"
oates joyce carol,"fiction, contemporary, literary fiction, classics, , family, adult"
b. raskin jamin,"historical, philosophy"
do anh,"childrens, humor, graphic novel, fiction, school"
do anh,"childrens, graphic novel"
do anh,childrens
do anh,childrens
do anh,"childrens, graphic novel"
do anh,"childrens, graphic novel, middle grade"
do anh,"childrens, fiction, graphic novel"
do anh,"childrens, graphic novel, fiction, humor, middle grade, school"
do anh,childrens
do anh,childrens
lisa robinson,"picture books, lgbt, biography, non-fiction, historical, childrens, feminism"
prez ashley hope,"young adult, realistic fiction, contemporary, fiction, romance, cultural, family"
gonzlez rigoberto,"lgbt, memoir, non-fiction, mental health, biography, queer"
k. arnold elana,"young adult, contemporary, fiction, realistic fiction, , feminism, romance"
cook karin,"fiction, literary fiction, coming of age, illness, , young adult, contemporary"
denene millner,"african american, fiction, drama, realistic fiction"
carol plum-ucci,"young adult, fiction, lgbt, mystery, contemporary, queer, teen"
judy blundell,"young adult, historical, mystery, fiction, historical, romance, teen"
huntley fitzpatrick,"young adult, contemporary, romance, young adult, realistic fiction, fiction, young adult"
becky albertalli,"romance, young adult, lgbt, contemporary, queer, fiction, audiobook"
axelle lenoir,"graphic novel, young adult, comic book, lgbt, humor, fiction, contemporary"
lakita wilson,"non-fiction, historical, childrens, social, middle grade, historical"
sonya sones,"young adult, poetry, romance, realistic fiction, contemporary, fiction, teen"
sonya sones,"young adult, poetry, romance, realistic fiction, fiction, contemporary, teen"
gary gutting,"philosophy, non-fiction, politics"
martin wilson,"young adult, lgbt, contemporary, fiction, realistic fiction, romance, gay"
nico medina,"non-fiction, historical, lgbt, middle grade, childrens, historical, social"
nico medina,"non-fiction, historical, lgbt, middle grade, childrens, historical, social"
mcdonough yona zeldis,"historical, non-fiction, childrens, historical, middle grade, biography, audiobook"
aaron hartzler,"young adult, contemporary, mystery, realistic fiction, fiction, romance, abuse"
varian johnson,"non-fiction, historical, sports, baseball, african american, childrens"
kawa katie,non-fiction
s. j. goslee,"lgbt, young adult, contemporary, romance, queer, gay, m m romance"
kyle lukoff,"picture books, lgbt, family, childrens, realistic fiction, queer, gender"
kyle lukoff,"picture books, lgbt, family, childrens, realistic fiction, queer, gender"
michael james mahin,"picture books, biography, music, non-fiction, childrens, cultural, historical"
kuehn stephanie,"young adult, thriller, mystery, contemporary, mystery, fiction, survival"
jason reynolds,"young adult, realistic fiction, fiction, contemporary, audiobook, african american, coming of age"
susane colasanti,"young adult, romance, contemporary, realistic fiction, chick lit, fiction, high school"
brian conaghan,"young adult, fiction, contemporary, disability, realistic fiction, humor, audiobook"
mazer norma fox,"young adult, fiction, realistic fiction, mental health, abuse, teen, contemporary"
victoria jamieson,"graphic novel, middle grade, memoir, non-fiction, biography, comic book, childrens"
