Title,Mapped Genres
I Will Always Love You,"young adult, contemporary, chick lit, fiction, romance, teen, childrens"
I Will Call it Georgie's Blues,"realistic fiction, music, childrens, fiction, young adult"
I Wish You All the Best,"lgbt, young adult, romance, queer, contemporary, fiction, mental health"
I Wish You All the Best (I Wish You All the Best Series),"lgbt, young adult, romance, queer, contemporary, fiction, mental health"
I am Billie Jean King,"biography, lgbt, sports, picture books, non-fiction, childrens, biography"
I am Jazz,"picture books, lgbt, , childrens, non-fiction, biography, gender"
I am Number Four,"young adult, fantasy, science fiction, fiction, aliens, romance, paranormal"
I'll Give You the Sun,"young adult, contemporary, romance, fiction, lgbt, queer, realistic fiction"
I'll Meet You There,"young adult, contemporary, romance, new adult, realistic fiction, fiction, young adult"
I'm A Gay Wizard,"fantasy, lgbt, young adult, queer, romance, gay, fiction"
I'm Glad My Mom Died,"non-fiction, memoir, audiobook, biography, autobiography, mental health, adult"
I'm a Pretty Little Black Girl!,"picture books, childrens, african american"
I'm a Unicorn,"picture books, humor, unicorns, animals, storytime, childrens, fantasy"
I'm a Wild Seed: My Graphic Memoir on Queerness and Decolonizing the World,"graphic novel, lgbt, non-fiction, memoir, queer, comic book, feminism"
Icebreaker,"sports, sports, contemporary, hockey, enemies to lovers, audiobook, contemporary"
Icy Sparks,"fiction, historical, adult, coming of age, contemporary, , historical"
Identical,"young adult, poetry, fiction, contemporary, mental health, realistic fiction, abuse"
Identical,"young adult, poetry, fiction, contemporary, mental health, realistic fiction, abuse"
Identity and Gender,lgbt
Identity: A Story of Transitioning,"graphic novel, comic book, young adult, lgbt, queer, graphic novel, coming of age"
If I Stay,"young adult, romance, contemporary, fiction, realistic fiction, teen, music"
If I Was Your Girl,"young adult, lgbt, contemporary, romance, fiction, queer, transgender"
If I Was Your Girl (MR),"young adult, lgbt, contemporary, romance, fiction, queer, transgender"
If It Bleeds,"horror, fiction, short stories, thriller, audiobook, mystery, fantasy"
If There Be Thorns,"fiction, horror, young adult, romance, gothic, thriller, drama"
If They Come for Us: Poems,"poetry, feminism, non-fiction, lgbt, queer, race, adult"
If We Were Us,"romance, young adult, lgbt, contemporary, queer, fiction, young adult"
If You Come Softly,"young adult, romance, fiction, contemporary, realistic fiction, audiobook, african american"
If You Could Be Mine,"young adult, lgbt, romance, fiction, queer, contemporary, realistic fiction"
If You Find This,"mystery, middle grade, adventure, childrens, fiction, realistic fiction, juvenile"
Illuminae,"science fiction, young adult, romance, fantasy, fiction, audiobook, dystopia"
Imagine Me,"fantasy, dystopia, romance, young adult, science fiction, fiction, romance"
Imani's Moon,"picture books, childrens, africa, fantasy, cultural, fiction, animals"
Impossible,"young adult, fantasy, romance, fiction, paranormal, teen, magic"
In Another Time,"historical, young adult, romance, world war ii, historical, fiction, scotland"
In Other Lands,"fantasy, young adult, lgbt, queer, fiction, romance, young adult"
In Our Mothers' House,"picture books, lgbt, family, childrens, , adoption, realistic fiction"
In Our Time,"classics, fiction, short stories, , american, school, 20th century"
In Search of Us,"young adult, contemporary, romance, fiction, realistic fiction, audiobook, family"
In a Handful of Dust,"young adult, dystopia, post apocalyptic, science fiction, audiobook, fiction, survival"
In the Beauty of the Lilies,"fiction, , historical, , religion, american, literary fiction"
In the Belly of the Beast: Letters From Prison,"non-fiction, biography, true crime, crime, memoir, psychology, biography"
In the Dream House,"non-fiction, memoir, lgbt, queer, audiobook, horror, feminism"
In the Midst of Winter,"fiction, historical, audiobook, romance, contemporary, literary fiction, spain"
In the Role of Brie Hutchens...,"middle grade, lgbt, contemporary, lesbian, realistic fiction, young adult, queer"
In the Time of the Butterflies,"historical, fiction, historical, classics, school, spain, "
In the Wild Light,"young adult, fiction, realistic fiction, contemporary, romance, audiobook, coming of age"
Incarceron,"fantasy, young adult, dystopia, science fiction, steampunk, fiction, adventure"
Indestructible Object,"contemporary, lgbt, young adult, romance, queer, lesbian, polyamory"
Indian No More,"historical, middle grade, native american, fiction, historical, indigenous, family"
Indivisible,"young adult, contemporary, fiction, lgbt, realistic fiction, queer, romance"
Inexcusable,"young adult, realistic fiction, fiction, teen, contemporary, sports, abuse"
Infandous,"young adult, contemporary, realistic fiction, fairy tales, , fiction, teen"
Infinity,"young adult, fantasy, science fiction, dystopia, fiction, paranormal, number"
Infinity Son (Infinity Cycle Series),"fantasy, young adult, lgbt, queer, fiction, urban, audiobook"
Influence,"mystery, young adult, contemporary, romance, thriller, mystery, fiction"
Insatiable,"romance, vampires, fantasy, paranormal, chick lit, fiction, paranormal"
Insignificant Events In The Life Of A Cactus,"middle grade, realistic fiction, fiction, mystery, young adult, audiobook, disability"
Insomnia,"horror, fiction, fantasy, thriller, mystery, supernatural, suspense"
Instructions for Dancing,"romance, young adult, contemporary, fiction, magic, audiobook, fantasy"
Intensity,"horror, thriller, fiction, suspense, mystery, mystery, crime"
Into White,"young adult, fiction, magic, audiobook, african american, race, cultural"
Into the Real,"lgbt, young adult, fantasy, queer, science fiction, transgender, dystopia"
Inventing Victoria,"historical, young adult, historical, teen, african american, young adult, romance"
Invisible Girl: A Novel,"thriller, mystery, fiction, mystery, audiobook, suspense, crime"
Invisible Monsters Remix,"fiction, contemporary, thriller, horror, , humor, mystery"
Iron Heart (Crier's War Series),"fantasy, lesbian, lgbt, queer, young adult, romance, science fiction"
Iron Widow,"fantasy, science fiction, young adult, lgbt, queer, fiction, romance"
Islandborn,"picture books, childrens, realistic fiction, family, cultural, fiction, school"
It Began with a Page: How Gyo Fujikawa Drew the Way,"picture books, biography, art, non-fiction, historical, childrens, biography"
It Goes Like This,"lgbt, lesbian, contemporary, young adult, queer, romance, fiction"
It Had To Be You,"young adult, chick lit, fiction, contemporary, romance, teen, high school"
It's Always the Husband,"mystery, thriller, fiction, mystery, audiobook, suspense, psychology"
It's Kind of a Funny Story,"young adult, fiction, contemporary, mental health, mental health, realistic fiction, romance"
It's Not Like It's a Secret,"lgbt, young adult, romance, contemporary, queer, lesbian, fiction"
It's Our Prom (So Deal With It),"lgbt, young adult, realistic fiction, fiction, romance, lesbian, queer"
Ivy Aberdeen's Letter to the World,"middle grade, lgbt, contemporary, realistic fiction, queer, young adult, fiction"
Jabari Jumps (Jabari Series),"picture books, childrens, realistic fiction, storytime, family, fiction, african american"
Jack,"fiction, young adult, lgbt, , coming of age, contemporary, queer"
Jack (Not Jackie),"picture books, lgbt, childrens, family, gender, gender, fiction"
Jack of Hearts (and other parts),"young adult, lgbt, contemporary, queer, fiction, mystery, romance"
Jackie The Joke Man Martling's Disgustingly Dirty Joke Book,comedy
Jacob's New Dress,"picture books, lgbt, childrens, , gender, queer, fiction"
Jacob's Room to Choose,"picture books, lgbt, childrens, gender, fiction, gender, school"
Jane Against the World: Roe v. Wade and the Fight for Reproductive Rights,"non-fiction, feminism, historical, politics, womens, social, audiobook"
Jane Steele,"historical, fiction, mystery, historical, retellings, romance, gothic"
Jarhead: A Marine's Chronicle of the Gulf War and Other Battles,"non-fiction, war, military, memoir, historical, biography, military"
Jay's Gay Agenda,"lgbt, romance, young adult, contemporary, queer, audiobook, gay"
Jaya and Rasa: A Love Story,"romance, young adult, contemporary, lgbt, queer, fiction, transgender"
Jesus Land: A Memoir,"memoir, non-fiction, religion, biography, biography, autobiography, cults"
Jordan,non-fiction
Joshua and the City,"fiction, christianity, religion, spirituality, christianity, inspirational, christianity"
Joyland,"horror, fiction, mystery, thriller, crime, audiobook, mystery"
Jubilee,"historical, fiction, classics, african american, historical, civil war, audiobook"
Jude the Obscure,"fiction, classics, , 19th century, victorian, , british literature"
Judge and Jury,"mystery, fiction, thriller, crime, suspense, mystery, audiobook"
Juliet Takes a Breath,"lgbt, young adult, fiction, queer, contemporary, feminism, lesbian"
Juliet Takes a Breath: The Graphic Novel,"graphic novel, lgbt, young adult, queer, comic book, contemporary, fiction"
Julián at the Wedding,"picture books, lgbt, childrens, queer, realistic fiction, family, love"
Julián at the Wedding (Julián Series),"picture books, lgbt, childrens, queer, realistic fiction, family, love"
Jumpstart the World,"young adult, lgbt, fiction, queer, transgender, realistic fiction, contemporary"
Just After Sunset,"horror, short stories, fiction, thriller, fantasy, anthology, audiobook"
Just Ash,"young adult, lgbt, contemporary, queer, intersex, realistic fiction, fiction"
Just Breathe,"romance, young adult, contemporary, mental health, fiction, realistic fiction, young adult"
Just Fly Away,"young adult, contemporary, fiction, realistic fiction, family, audiobook, romance"
Just Kids,"non-fiction, memoir, music, biography, art, biography, autobiography"
Just Kill Me,"young adult, lgbt, humor, mystery, fiction, contemporary, ghosts"
Just Mercy,"non-fiction, memoir, social, race, audiobook, politics, historical"
Just One Year,"young adult, romance, contemporary, fiction, new adult, travel, realistic fiction"
Just a Girl,"young adult, contemporary, romance, fiction, realistic fiction, high school, young adult"
Kaleidoscope Song,"lgbt, romance, young adult, contemporary, queer, music, fiction"
Kalona's Fall,"fantasy, young adult, vampires, paranormal, fiction, romance, novella"
Kate in Waiting,"young adult, romance, contemporary, lgbt, queer, fiction, audiobook"
Keena Ford and the Second Grade Mix Up (Keena Ford Series),"realistic fiction, childrens, chapter books, elementary, fiction, school, juvenile"
Keeper,"fantasy, middle grade, fiction, young adult, childrens, magic, mermaids"
Keeping Corner,"historical, young adult, india, fiction, historical, cultural, teen"
Keeping You a Secret,"lgbt, young adult, romance, queer, fiction, lesbian, contemporary"
Kenang-Kenangan Seorang Geisha (Memoirs of a Geisha),"fiction, historical, romance, historical, adult, , asia"
Keys to the Repository,"young adult, vampires, fantasy, paranormal, angels, romance, fiction"
Khaled Hosseini's The Kite Runner,"fiction, historical, "
Killer,"young adult, mystery, fiction, contemporary, romance, chick lit, thriller"
Killer Spirit,"young adult, mystery, espionage, romance, contemporary, high school, action"
Killing Jesus: A History,"historical, non-fiction, religion, biography, christianity, historical, audiobook"
Killing Lincoln: A Shocking Assassination that Changed America Forever,"historical, non-fiction, biography, historical, american, civil war, audiobook"
Killing Mr. Griffin,"young adult, fiction, mystery, horror, thriller, , suspense"
Killing Time in Crystal City,"young adult, contemporary, fiction, realistic fiction, family"
Killjoy,"romance, romance, mystery, suspense, contemporary, contemporary, fiction"
Kin,"graphic novel, fantasy, young adult, comic book, urban, fae, fiction"
Kindred,"historical, fiction, science fiction, fantasy, time travel, classics, historical"
Kindred: A Graphic Novel Adaptation,"graphic novel, historical, fiction, science fiction, time travel, fantasy, historical"
King Arthur and the Knights of the Round Table (STM),"classics, fantasy, fiction, arthurian, mythology, historical, medieval"
King Dork,"young adult, fiction, humor, mystery, teen, music, coming of age"
King and the Dragonflies,"middle grade, lgbt, contemporary, audiobook, queer, realistic fiction, fiction"
King of Battle and Blood,"fantasy, vampires, fantasy, romance, enemies to lovers, paranormal, adult"
King of Scars,"young adult, fiction, young adult, romance, fantasy, magic, high fantasy"
King of the Screwups,"young adult, realistic fiction, coming of age, fiction, teen, lgbt, humor"
Kingdom of Ash,"young adult, romance, romance, fae, fiction, magic, new adult"
Kings Rising,"fantasy, lgbt, m m romance, enemies to lovers, queer, adult, fiction"
Kings of B'more,"young adult, lgbt, contemporary, queer, romance, fiction, audiobook"
Kisses From Hell,"young adult, vampires, fantasy, paranormal, romance, anthology, short stories"
Kissing Kate,"young adult, lgbt, romance, queer, fiction, contemporary, lesbian"
Knight of the Cape: Definitely Dominguita,"realistic fiction, chapter books, adventure, middle grade, juvenile, fiction, childrens"
Knock Knock: My Dad's Dream for Me,"picture books, realistic fiction, family, childrens, african american, cultural, fiction"
Knots on a Counting Rope,"picture books, childrens, historical, native american, cultural, fiction, family"
Know My Name,"non-fiction, memoir, audiobook, feminism, biography, true crime, biography"
LGBTQ Families: The Ultimate Teen Guide,
La tormenta,", young adult, fiction, teen"
Lady Smoke,"fantasy, young adult, romance, young adult, fiction, magic, audiobook"
Lailah's Lunchbox: A Ramadan Story,"picture books, childrens, muslims, cultural, religion, holiday, realistic fiction"
Lair of Dreams,"fantasy, young adult, historical, paranormal, audiobook, mystery, historical"
Lair of Dreams (The Diviners Series),"fantasy, young adult, historical, paranormal, audiobook, mystery, historical"
Lasher,"horror, fantasy, fiction, paranormal, witches, supernatural, urban"
Last Man: The Royal Cup,"comic book, graphic novel, fantasy, manga, comic book, young adult, france"
Last Night at the Telegraph Club,"historical, lgbt, romance, young adult, queer, lesbian, fiction"
Last Stop on Market Street,"picture books, childrens, realistic fiction, family, fiction, cultural, african american"
Late to the Party,"lgbt, romance, young adult, contemporary, lesbian, queer, fiction"
Later,"horror, fiction, thriller, audiobook, mystery, crime, paranormal"
Laughing at My Nightmare,"non-fiction, memoir, humor, disability, biography, teen, biography"
Lawn Boy (JE),", fiction, lgbt, young adult, audiobook, contemporary, coming of age"
Layoverland,"young adult, romance, fantasy, contemporary, fiction, magic, humor"
Leah on the Offbeat,"young adult, lgbt, contemporary, romance, queer, fiction, audiobook"
Learning to Breathe,"young adult, contemporary, realistic fiction, fiction, cultural, family, young adult"
Legendary,"fantasy, young adult, romance, young adult, magic, fiction, audiobook"
Leila in Saffron,"picture books, family, childrens, cultural, food, fiction, realistic fiction"
Leonardo da Vinci,"biography, art"
Les Misérables,"fiction, historical, , france, historical, , france"
Let it Snow: Three Holiday Romances,"young adult, romance, contemporary, christmas, fiction, short stories, holiday"
Let the Children March,"picture books, historical, childrens, african american, social, historical, cultural"
Let's Go Swimming on Doomsday,"young adult, realistic fiction, contemporary, fiction, war, africa, historical"
Let's Talk About Love,"romance, young adult, contemporary, lgbt, queer, fiction, new adult"
Leverage,"sports, young adult, realistic fiction, contemporary, teen, high school, football"
Libertie,"historical, fiction, historical, audiobook, race, feminism, african american"
Lies My Girlfriend Told Me,"lgbt, young adult, romance, contemporary, fiction, lesbian, queer"
Lies and Other Tall Tales,"picture books, childrens, african american, folklore, folklore, fiction, cultural"
Life,"music, biography, non-fiction, memoir, autobiography, audiobook, biography"
Life As We Knew It,"young adult, dystopia, science fiction, fiction, post apocalyptic, survival, apocalyptic"
Life In Prison,"non-fiction, crime, biography, memoir, autobiography, true crime, biography"
Life and Death: Twilight Reimagined,"fantasy, romance, young adult, vampires, fiction, paranormal, urban"
Life in Outer Space,"young adult, contemporary, romance, fiction, young adult, realistic fiction, humor"
Life is Funny,"young adult, , realistic fiction, short stories, fiction, contemporary, teen"
Life is Funny,"young adult, , realistic fiction, short stories, fiction, contemporary, teen"
Light Years,"young adult, israel, fiction, teen, realistic fiction, adult, war"
Lighter than My Shadow,"graphic novel, non-fiction, memoir, mental health, comic book, graphic novel, biography"
Lightlark,"romance, romance, young adult, audiobook, fantasy, fiction, magic"
Lightning,"romance, fiction, chick lit, contemporary, adult, contemporary, drama"
Lights Out (Sofía Martínez Series),"picture books, chapter books, childrens, spain"
Like Other Girls,"lgbt, young adult, lesbian, contemporary, sports, romance, queer"
Like the Moon Loves the Sky,"picture books, family, muslims, love, childrens, islam, religion"
Lily and Dunkin,"middle grade, lgbt, young adult, realistic fiction, fiction, mental health, mental health"
Linden Hills,"fiction, classics, african american, literary fiction, african american, , american"
Lips Touch: Three Times,"fantasy, young adult, short stories, romance, paranormal, fiction, supernatural"
Lisa Bright and Dark,"young adult, fiction, mental health, mental health, psychology, realistic fiction, classics"
Lisey's Story,"horror, fiction, fantasy, thriller, mystery, audiobook, romance"
Little Bill (children book series),"childrens, fiction, picture books, african american, , realistic fiction"
Little Blog on the Prairie,"young adult, realistic fiction, fiction, middle grade, contemporary, humor, romance"
Little Brother,"young adult, science fiction, fiction, dystopia, cyberpunk, teen, audiobook"
Little Fires Everywhere,"fiction, contemporary, audiobook, literary fiction, adult, adult, mystery"
Little Leaders: Bold Women in Black History,"non-fiction, picture books, biography, historical, childrens, feminism, middle grade"
Little Mercies,"fiction, contemporary, chick lit, mystery, suspense, womens, thriller"
Little Night/Nochecita,"picture books, childrens, fiction, spain, fantasy, family, kids"
Little Princes: One Man's Promise to Bring Home the Lost Children of Nepal,"non-fiction, memoir, travel, biography, asia, biography, audiobook"
Living Dead Girl,"young adult, horror, contemporary, fiction, realistic fiction, abuse, dark"
Living Dead in Dallas,"fantasy, vampires, paranormal, urban, romance, fiction, mystery"
Living with Religion and Faith,"non-fiction, lgbt"
Lizard Radio,"young adult, lgbt, science fiction, queer, dystopia, fiction, transgender"
Lobizona,"fantasy, young adult, fiction, magic, paranormal, urban, young adult"
Lobizona (Wolves of No World Series),"fantasy, young adult, fiction, magic, paranormal, urban, young adult"
Lobizona: A Novel (Wolves of No World Series),"fantasy, young adult, fiction, magic, paranormal, urban, young adult"
Locked Up for Freedom: Civil Rights Protesters at the Leesburg Stockade,"non-fiction, historical, middle grade, race, childrens, african american, juvenile"
Lola Gets a Cat (Lola Series),"picture books, cats, animals, childrens, storytime, fiction, african american"
Lola Goes to School (Lola Series),"picture books, school, storytime, school, family, childrens, school"
Lola Levine Is Not Mean! (Lola Levine Series),"realistic fiction, chapter books, sports, fiction, cultural, family, middle grade"
Lola Levine Meets Jelly and Bean (Lola Levine Series),"realistic fiction, animals, childrens, middle grade, chapter books, cats, "
Lola Levine and the Ballet Scheme (Lola Levine Series),"chapter books, middle grade, realistic fiction, childrens, , sports, contemporary"
Lola Levine and the Halloween Scream (Lola Levine Series),"halloween, middle grade, chapter books, , childrens"
Lola Levine and the Vacation Dream (Lola Levine Series),"chapter books, childrens, family, , realistic fiction, travel, cultural"
Lola Levine: Drama Queen (Lola Levine Series),"realistic fiction, fiction, chapter books, cultural, childrens, middle grade, juvenile"
Lola Loves Stories with Daddy (Lola Series),"picture books, childrens, books about books"
Lola Plants a Garden (Lola Series),"picture books, storytime, gardening, childrens, nature, family, fiction"
Lola Sleeps Over (Lola Series),"picture books, family, storytime, childrens, juvenile, african american, adventure"
Lola at the Library with Mommy (Lola Series),"picture books, family, childrens"
London Bridges,"mystery, fiction, thriller, crime, mystery, suspense, audiobook"
Lone Survivor: The Eyewitness Account of Operation Redwing and the Lost Heroes of SEAL Team 10,"non-fiction, military, historical, war, biography, memoir, military"
Long Day's Journey Into Night,"plays, drama, classics, fiction, theatre, , american"
Look Past,"mystery, lgbt, young adult, thriller, mystery, realistic fiction, contemporary"
Looking for Alaska,"young adult, fiction, contemporary, romance, realistic fiction, coming of age, teen"
Looking for Bongo,"picture books, family, childrens, cultural, storytime, fiction, spain"
Looking for JJ,"young adult, mystery, crime, fiction, contemporary, thriller, realistic fiction"
Lore Olympus: Volume Five,"graphic novel, fantasy, romance, mythology, fiction, retellings, greek mythology"
Lore Olympus: Volume Four,"graphic novel, fantasy, romance, mythology, comic book, retellings, greek mythology"
Lore Olympus: Volume Six,"graphic novel, fantasy, romance, mythology, fiction, retellings, greek mythology"
Lore Olympus: Volume Three,"graphic novel, fantasy, romance, mythology, comic book, fiction, retellings"
Lore Olympus: Volume Two,"graphic novel, fantasy, romance, mythology, comic book, retellings, fiction"
Los colores de nuestra piel/The Colors of Us (Spanish Version),"picture books, childrens, cultural, race, art, fiction, african american"
Losing Hope,"romance, new adult, young adult, contemporary, fiction, contemporary, abuse"
Losing the Field (The Field Party Series),"romance, young adult, contemporary, sports, sports, high school, audiobook"
Lost Boys,"historical, middle grade, fiction, war, young adult, iran, historical"
Lost and Found Cat : The True Story of Kunkush's Incredible Journey,"picture books, non-fiction, cats, animals, childrens, family, historical"
Lost in Time,"vampires, young adult, fantasy, paranormal, romance, angels, paranormal"
Loud Awake and Lost,"young adult, mystery, contemporary, fiction, romance, realistic fiction, audiobook"
Love Drugged,"young adult, lgbt, gay, realistic fiction, fiction, contemporary, romance"
Love Is for Losers,"lgbt, young adult, romance, contemporary, lesbian, queer, fiction"
Love Is the Higher Law,"young adult, lgbt, fiction, contemporary, historical, realistic fiction, romance"
Love Lies Beneath,"romance, fiction, adult, contemporary, poetry, mystery, young adult"
Love and Other Carnivorous Plants,"contemporary, young adult, lgbt, mental health, romance, mental health, young adult"
Love in the Time of Global Warming,"young adult, fantasy, lgbt, dystopia, fiction, mythology, science fiction"
Love to Mama: A Tribute To Mothers,"poetry, picture books, cultural, childrens, family, juvenile"
Loveless,"lgbt, young adult, contemporary, queer, fiction, romance, audiobook"
Lovely,"picture books, childrens, storytime, fiction, lgbt, cultural, graphic novel"
Lubna and Pebble,"picture books, childrens, family, fiction, war, realistic fiction, cultural"
Lucas,"young adult, fiction, romance, contemporary, mystery, realistic fiction, young adult"
Luckiest Girl Alive,"fiction, thriller, mystery, audiobook, mystery, contemporary, adult"
Lucky,"non-fiction, memoir, biography, true crime, biography, autobiography, adult"
Lucky Broken Girl,"middle grade, historical, fiction, realistic fiction, young adult, childrens, judaism"
Lucky Penny,"graphic novel, romance, young adult, humor, fiction, graphic novel, contemporary"
Lulu and Milagro's Search for Clarity,"young adult, contemporary, fiction, romance, realistic fiction, young adult, coming of age"
Lulu is a Rhinoceros,"picture books, childrens, animals, dogs, fiction, humor, graphic novel"
Lush,"young adult, realistic fiction, , fiction, middle grade, teen, contemporary"
M or F?,"young adult, lgbt, romance, contemporary, fiction, queer, gay"
Made You Up,"young adult, contemporary, mental health, romance, mental health, fiction, realistic fiction"
Mae Among the Stars,"picture books, biography, space, non-fiction, childrens, science, historical"
Maestros,"comic book, graphic novel, fantasy, graphic novel, fiction, magic, adult"
Maggot Moon,"young adult, dystopia, science fiction, fiction, historical, teen, lgbt"
Major Monster Mess (Desmond Cole Ghost Patrol Series),"humor, childrens, chapter books, middle grade"
Making Bombs for Hitler,"historical, middle grade, young adult, historical, world war ii, fiction, war"
Making Sexual Decisions: The Ultimate Teen Guide,non-fiction
Making a Play (The Field Party Series),"romance, young adult, sports, contemporary, sports, high school, audiobook"
Malala Yousafzai (A True Book: Biographies),"biography, non-fiction, childrens"
Malala's Magic Pencil,"picture books, biography, non-fiction, childrens, memoir, feminism, cultural"
Malala: A Hero for All (Step into Reading Series),"biography, non-fiction, childrens, picture books, education, historical"
Malcolm: The Life of a Man Who Changed Black America,"historical, biography, race, social"
Manga Shakespeare: A Midsummer Night's Dream,"manga, fantasy, graphic novel, classics, comic book, romance, plays"
Mangaman,"graphic novel, manga, young adult, comic book, fantasy, romance, teen"
Marc Chagall,"art, picture books, non-fiction, biography, childrens"
Marisol McDonald Doesn't Match (Marisol McDonald Series),"picture books, cultural, childrens, spain, fiction, realistic fiction, family"
Marked (House of Night Series),"young adult, fantasy, vampires, paranormal, romance, fiction, supernatural"
Marvelous Cornelius: Hurricane Katrina and the Spirit of New Orleans,"picture books, biography, non-fiction, childrens, historical, african american, cultural"
Mask of Shadows,"fantasy, young adult, lgbt, queer, fiction, young adult, romance"
Master of One,"fantasy, young adult, lgbt, romance, queer, young adult, fae"
Master of the Game,"fiction, thriller, mystery, suspense, mystery, romance, drama"
Mastiff (Beka Cooper Series),"fantasy, young adult, fiction, magic, young adult, mystery, adventure"
Max and the Tag-Along Moon,"picture books, childrens, family, fiction, storytime, african american, love"
May the Best Man Win,"lgbt, romance, young adult, queer, contemporary, transgender, fiction"
Maya Angelou: Greeting the Morning,biography
Maybe He Just Likes You,"middle grade, realistic fiction, fiction, young adult, contemporary, audiobook, childrens"
Maybe He Just Likes You,"middle grade, realistic fiction, fiction, young adult, contemporary, audiobook, childrens"
Maybe Not,"romance, new adult, contemporary, audiobook, novella, fiction, contemporary"
Maybe Someday,"romance, new adult, contemporary, fiction, contemporary, young adult, audiobook"
Me Before You,"romance, fiction, contemporary, chick lit, adult, audiobook, adult"
Me Myself & Him,"young adult, lgbt, contemporary, romance, queer, fiction, gay"
Me and Earl and the Dying Girl,"young adult, contemporary, fiction, humor, realistic fiction, , coming of age"
Meet Cute: Some People Are Destined to Meet,"romance, young adult, short stories, contemporary, anthology, lgbt, fiction"
Meg & Linus,"lgbt, young adult, contemporary, romance, fiction, queer, young adult"
Melissa (George),"lgbt, middle grade, fiction, contemporary, realistic fiction, queer, young adult"
Memoirs of a Geisha,"fiction, historical, romance, historical, adult, , asia"
Men Without Women,"short stories, fiction, japan, contemporary, magic, , audiobook"
Messed Up,"young adult, realistic fiction, teen, fiction, urban, drama, survival"
Metro Girl,"mystery, romance, fiction, chick lit, humor, contemporary, comedy"
Mexican Whiteboy,"young adult, sports, realistic fiction, fiction, contemporary, cultural, baseball"
Mexican Whiteboy,"young adult, sports, realistic fiction, fiction, contemporary, cultural, baseball"
Michelle,"biography, picture books, african american, non-fiction, childrens, biography"
Micro,"science fiction, fiction, thriller, adventure, mystery, audiobook, horror"
Midnight Bayou,"romance, fiction, mystery, paranormal, romance, contemporary, contemporary"
Midnight Beauties,"fantasy, young adult, fiction, urban, paranormal, magic, witches"
Midnight at the Bright Ideas Bookstore,"mystery, fiction, books about books, mystery, thriller, audiobook, contemporary"
Midnight at the Electric,"historical, young adult, science fiction, historical, fiction, audiobook, fantasy"
Miles Away from You,"lgbt, young adult, contemporary, romance, queer, travel, fiction"
Milk Glass Moon,"fiction, chick lit, romance, contemporary, adult, southern, audiobook"
Milk and Honey,"feminism, non-fiction, poetry, contemporary, adult, romance, mental health"
Milo Imagines the World,"picture books, realistic fiction, family, childrens, art, fiction, african american"
Milo's Museum,"picture books, childrens, art, social, family, cultural, historical"
Mindset: The New Psychology of Success,"psychology, non-fiction, self help, business, personal development, leadership, parenting"
Mindy Kim and the Big Pizza Challenge (Mindy Kim Series),"contemporary, childrens, family, middle grade, cultural, juvenile, fiction"
Mindy Kim and the Birthday Puppy (Mindy Kim Series),"fiction, contemporary, childrens, middle grade, animals, dogs, juvenile"
Mindy Kim and the Lunar New Year Parade (Mindy Kim Series),"middle grade, childrens, realistic fiction, fiction, holiday, contemporary, family"
Mindy Kim and the Yummy Seaweed Business (Mindy Kim Series),"middle grade, chapter books, realistic fiction, childrens, fiction, family, food"
Mirage,"fantasy, young adult, science fiction, romance, young adult, fiction, audiobook"
Misery,"horror, fiction, thriller, mystery, suspense, mystery, adult"
Mixed Me!,"picture books, childrens, cultural, family, fiction, african american, race"
Mixed: A Colorful Story,"picture books, childrens, art, storytime, family, cultural, fiction"
Mockingjay,"young adult, dystopia, fiction, fantasy, science fiction, romance, adventure"
Modern Romance: An Investigation,"non-fiction, humor, audiobook, romance, comedy, social, psychology"
Molly's Family,"picture books, lgbt, family, childrens, fiction, school, queer"
Mommy Sayang: Pixar Animation Studios Artist Showcase,"picture books, family, realistic fiction, childrens, disability, fiction, cultural"
Monday's Not Coming,"young adult, mystery, contemporary, fiction, thriller, audiobook, mystery"
Money Boy,"young adult, lgbt, fiction, gay, contemporary, queer, realistic fiction"
Monkey Man,mystery
Monster Trouble!,"picture books, monsters, halloween, childrens, storytime, fiction, humor"
Monsters,"young adult, zombies, dystopia, horror, post apocalyptic, science fiction, fiction"
Montana 1948,"fiction, historical, westerns, coming of age, school, classics, literary fiction"
Monument 14: Sky On Fire,"young adult, dystopia, post apocalyptic, science fiction, survival, apocalyptic, fiction"
Moonlight Becomes You,"mystery, fiction, suspense, thriller, mystery, crime, adult"
More Scary Stories to Tell in the Dark,"horror, short stories, fiction, childrens, young adult, middle grade, paranormal"
More Than We Can Tell,"romance, young adult, contemporary, young adult, fiction, realistic fiction, mental health"
Mortal Heart,"fantasy, young adult, historical, romance, historical, fiction, young adult"
Mosquitoland,"young adult, contemporary, fiction, realistic fiction, mental health, coming of age, mental health"
Most Valuable Players (Rip and Red Series),"middle grade, realistic fiction"
Moxie,"young adult, contemporary, feminism, fiction, realistic fiction, romance, young adult"
Mr. Watson's Chickens,"picture books, lgbt, animals, humor, childrens, storytime, fiction"
Mrs. Katz and Tush,"picture books, childrens, fiction, judaism, cultural, realistic fiction, cats"
Multiplication Is for White People: Raising Expectations for Other People's Children,"education, non-fiction, teaching, race, social, school, anti racist"
Munmun,"young adult, fantasy, fiction, science fiction, dystopia, magic, teen"
Murder of Crows,"young adult, mystery, lgbt, contemporary, mystery, fiction, thriller"
Music from Another World,"historical, lgbt, young adult, romance, lesbian, historical, queer"
